sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	21067388	35458165160.66	0.000594147720406406	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_110626_PS100	PS	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	6985440.5	39295522102.6	0.000177766832611643	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_110626_untreated	Untreated	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	24479027.7	40726922534.5	0.000601052723275707	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_180626_PET100	PET	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	13536745	36474343757.1	0.000371130597719526	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_180626_PS100	PS	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	15401144.8	38000221483.6	0.000405290921965988	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_180626_untreated	Untreated	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	23441682.5	38180285352.2	0.000613973475676217	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_210626_PET100	PET	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	7881571	40523921542.8	0.000194491813722316	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_210626_PS100	PS	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	13031152.3	42962798740.1	0.000303312462924748	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
A549_210626_untreated	Untreated	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	37509026	37950422097.55	0.000988369138651069	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
MDM_160526_PET100	PET	raw	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1440	5069368	28244838693.3	0.000179479445963432	kruskal_wallis	0.104021476668038	0.817854095292936	ns	0.000324564696586129	0.000405246389678203
