sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1433301569.5	0.000707369350299173	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_110626_PS100	PS	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	752687730.9	0.0013470042866086	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_110626_untreated	Untreated	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1753754950	0.00057811588785537	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_180626_PET100	PET	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1263477831.1	0.000802446687265821	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_180626_PS100	PS	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1230921284.8	0.000823670540529108	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_180626_untreated	Untreated	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	2350512715	0.000431341465855461	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_210626_PET100	PET	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	778473199.3	0.00130238728951963	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_210626_PS100	PS	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1063108430.75	0.000953687855983546	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
A549_210626_untreated	Untreated	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1346884982.2	0.000752754402490954	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_160526_PET100	PET	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	583831736.5	0.00173658528068044	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_160526_PS100	PS	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	597964616.7	0.00169554112682333	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_160526_untreated	Untreated	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	704625527.6	0.00143888286797289	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_A_190626_PET100	PET	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1952488677.2	0.000519272460751969	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_A_190626_PS100	PS	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	599674082.7	0.00169070771815765	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_A_190626_untreated	Untreated	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1543184201	0.000657001023820098	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_B_190626_PET100	PET	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	1356937732.2	0.000747177689838582	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_B_190626_PS100	PS	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	538597945.3	0.00188243124365295	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
MDM_B_190626_untreated	Untreated	raw	class	Imidazole alkaloids	Imidazole alkaloids	pathway	Alkaloids	Alkaloids	Histidine alkaloids	Imidazole alkaloids	NPC class: Imidazole alkaloids / NPC pathway: Alkaloids	Imidazole alkaloids	1	93	1013873.6	871464306	0.00116341380022052	kruskal_wallis	0.0690783010549804	0.817854095292936	ns	0.000561922220589981	0.0008139782892276
