sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	3261862.4	35458165160.66	9.19918553377082e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_110626_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	39295522102.6	5.16025005267924e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_110626_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	3521696.4	40726922534.5	8.64709676263104e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_180626_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	36474343757.1	5.55937952853582e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_180626_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2639646.6	38000221483.6	6.9463979338626e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_180626_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	8044559.6	38180285352.2	0.000210699305303554	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_210626_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2346187.2	40523921542.8	5.78963513568655e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_210626_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	42962798740.1	4.71977445479447e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
A549_210626_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	6121197.5	37950422097.55	0.000161294582818228	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
MDM_160526_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	28244838693.3	7.17917783853729e-05	kruskal_wallis	0.022084804258368	0.817854095292936	ns	7.90923511958861e-05	8.93191157146967e-05
