sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	1936325871.1	8125399185.8	0.238305322215299	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_110626_PS100	PS	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	1151073410	7176029029.7	0.160405344687983	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_110626_untreated	Untreated	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	2233140892.2	7977246302.3	0.279938816926856	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_180626_PET100	PET	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	1753964419.3	7887370547.1	0.222376317788809	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_180626_PS100	PS	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	1518454973.9	7744341501.3	0.196072832486158	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_180626_untreated	Untreated	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	2905389591.5	9311438840.8	0.312023699148346	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_210626_PET100	PET	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	1035128674	7046049113	0.146909091520549	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_210626_PS100	PS	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	1226724121	7600031547.2	0.161410398546563	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
A549_210626_untreated	Untreated	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	2114846526.2	8846156040.8	0.239069547998697	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
MDM_160526_PET100	PET	raw	superclass	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	pathway	Polyketides	Polyketides	Macrolides	3-Spirotetramic acids | Ansa macrolides | Erythromycins | Lactam bearing macrolide lactones | Macrolide lactones | Open-chain polyketides | Polyene macrolides | Spirotetronate macrolides	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	57	150	187277299.6	742612221.2	0.252187203837523	kruskal_wallis	0.0147520345663671	0.817854095292936	ns	0.0971094350368099	0.0985963108455039
