sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	24751565.5	14863016969.1	0.00166531233540661	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_110626_PS100	PS	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	23022631	13243674001.2	0.00173838702144993	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_110626_untreated	Untreated	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	24870288	14567162470.1	0.00170728431505091	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_180626_PET100	PET	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	21462544.5	14118872693.8	0.00152013159729281	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_180626_PS100	PS	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	25500532	14039838092	0.00181629815336192	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_180626_untreated	Untreated	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	29891242	16122838566.1	0.00185396894457838	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_210626_PET100	PET	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	22945981.5	13669470882.2	0.0016786298239151	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_210626_PS100	PS	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	23780877	16430213468.8	0.00144738697675222	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
A549_210626_untreated	Untreated	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	18275820.5	14764154882.5	0.00123785077069751	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
MDM_160526_PET100	PET	raw	superclass	Monoterpenoids	Menthane monoterpenoids	pathway	Terpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	NPC superclass: Monoterpenoids / NPC pathway: Terpenoids	Monoterpenoids	2	328	19967960.4	12419174723.5	0.00160783311649653	kruskal_wallis	0.308683562466034	0.948189582046781	ns	0.000281724444566939	0.000140769861454357
