sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	119814177.1	1576419087.3	0.0760040131873884	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_110626_PS100	PS	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	141181328.3	1438361364.9	0.0981542828841314	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_110626_untreated	Untreated	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	112910261.5	1785861188.6	0.06322454523384	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_180626_PET100	PET	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	95712017.3	1474863097.7	0.0648955265402326	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_180626_PS100	PS	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	91416923.8	1606086500.9	0.0569190537052474	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_180626_untreated	Untreated	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	85186919.8	2104203255.8	0.0404841688012752	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_210626_PET100	PET	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	140538017.3	1569136596.1	0.0895639153718671	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_210626_PS100	PS	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	130982670.5	1542202367.4	0.0849322198362487	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
A549_210626_untreated	Untreated	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	109582953.7	1631201150.5	0.0671793013794837	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
MDM_160526_PET100	PET	raw	superclass	Small peptides	Aminoacids | Dipeptides | Tripeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Aminoacids | Dipeptides | Tripeptides	NPC superclass: Small peptides / NPC pathway: Amino acids and Peptides	Small peptides	18	141	103091077.6	990293412.4	0.104101548398829	kruskal_wallis	0.385499117865117	0.948189582046781	ns	0.02345733770654	0.0238283186673622
