data_source	value	npc_label	plot_label	test	contrast	group_1	group_2	n_group_1	n_group_2	mean_group_1	mean_group_2	mean_difference	abs_mean_difference	median_group_1	median_group_2	median_difference	abs_median_difference	p_value	q_value	significance
filtered	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.0190357728852303	NA	NA	NA	0.0134650509084399	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0184405437553234	0.0374763166405537	0.0190357728852303	0.0190357728852303	0.0165311543599828	0.0299962052684227	0.0134650509084399	0.0134650509084399	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.00397319351414616	NA	NA	NA	0.00303610391283705	0.382733088885226	0.698903901442587	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.00923070143040566	0.0052575079162595	-0.00397319351414616	0.00397319351414616	0.00868889853446041	0.00565279462162337	-0.00303610391283705	0.00303610391283705	0.382733088885226	0.698903901442587	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyls / NPC pathway: Fatty acids	Fatty acyls	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.00846162531362636	NA	NA	NA	0.00732619106641499	0.0808555983700523	0.308721375594745	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyls / NPC pathway: Fatty acids	Fatty acyls	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.00834947045187996	0.0168110957655063	0.00846162531362636	0.00846162531362636	0.00894838444101485	0.0162745755074298	0.00732619106641499	0.00732619106641499	0.0808555983700523	0.308721375594745	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty amides / NPC pathway: Fatty acids	Fatty amides	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.0275642728976916	NA	NA	NA	0.00991283120302627	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty amides / NPC pathway: Fatty acids	Fatty amides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.110834552166917	0.083270279269225	-0.0275642728976916	0.0275642728976916	0.0880338902527192	0.0781210590496929	-0.00991283120302627	0.00991283120302627	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty esters / NPC pathway: Fatty acids	Fatty esters	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.0143308778117755	NA	NA	NA	0.0272874045221401	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty esters / NPC pathway: Fatty acids	Fatty esters	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.059844721598584	0.0741755994103595	0.0143308778117755	0.0143308778117755	0.0534642961400649	0.080751700662205	0.0272874045221401	0.0272874045221401	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Glycerolipids / NPC pathway: Fatty acids	Glycerolipids	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.0253662235495673	NA	NA	NA	0.0260125072315953	0.0808555983700523	0.308721375594745	ns
filtered	pathway_normalized_ratio	NPC superclass: Glycerolipids / NPC pathway: Fatty acids	Glycerolipids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0262642651732643	0.0516304887228316	0.0253662235495673	0.0253662235495673	0.0246374877607667	0.050649994992362	0.0260125072315953	0.0260125072315953	0.0808555983700523	0.308721375594745	ns
filtered	pathway_normalized_ratio	NPC superclass: Glycerophospholipids / NPC pathway: Fatty acids	Glycerophospholipids	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.0275748627973417	NA	NA	NA	0.0373485056714484	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Glycerophospholipids / NPC pathway: Fatty acids	Glycerophospholipids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.407396158768651	0.434971021565993	0.0275748627973417	0.0275748627973417	0.483142596763371	0.445794091091923	-0.0373485056714484	0.0373485056714484	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Linear polyketides / NPC pathway: Polyketides	Linear polyketides	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.00510887812299046	NA	NA	NA	0.0621034227595565	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Linear polyketides / NPC pathway: Polyketides	Linear polyketides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.166380582083401	0.171489460206391	0.00510887812299046	0.00510887812299046	0.156112817427891	0.218216240187448	0.0621034227595565	0.0621034227595565	0.662520583540057	0.81840777966713	ns
filtered	pathway_normalized_ratio	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	wilcoxon_rank_sum	overall	NA	NA	NA	NA	NA	NA	NA	0.128110167460018	NA	NA	NA	0.136488029382213	0.0808555983700523	0.308721375594745	ns
filtered	pathway_normalized_ratio	NPC superclass: Macrolides / NPC pathway: Polyketides	Macrolides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.286650234549998	0.414760402010016	0.128110167460018	0.128110167460018	0.267776751740483	0.404264781122696	0.136488029382213	0.136488029382213	0.0808555983700523	0.308721375594745	ns
