data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	833	Untreated	PET	0.629556947148936	0.629556947148936	0.528828706381531	0.48323686677368	0.214050232807063	0.231240019000043	0.843607179955999	0.975258485741782	0.104255511713028	0.104255511713028	0.0654352824073906	NA_[833_428.41_3.2]	NA	ethyl 14-oxotetracosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.987	0.96	0.81
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1382	Untreated	PET	0.606478483511872	0.606478483511872	0.548867491303366	0.490752243064302	0.24562824954743	0.338657050445345	0.852106733059302	0.973043411246246	0.100433685829081	0.204689197542109	0.067914806560747	NA_[1382_484.47_5.1]	NA	14-oxotriacontanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.995	0.95	0.67
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1147	Untreated	PET	0.597677364734986	0.597677364734986	0.518187620160932	0.500634769388402	0.219348937793439	0.267749847365502	0.817026302528425	0.840106334823285	0.0989762082396639	0.303665405781773	0.0641185942746099	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1541	Untreated	PET	0.583641570185971	0.583641570185971	0.447061944599527	0.395059471920204	0.155241159506541	0.142751639016771	0.738882729692512	0.749501084739981	0.0966518610147887	0.400317266796561	0.0553177697153259	NA_[1541_706.59_5.8]	NA	3,4-dihydroxy-N-(1,3,6-trihydroxynonacos-4-en-2-yl)dodecanamide	[M + Na]+	5	Fatty acids	Fatty esters	Fatty acyl carnitines	1	0.822	0.905
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1844	Untreated	PET	0.565929553220976	0.565929553220976	0.54340695063434	0.520831354500031	0.260442174023851	0.343484614943334	0.826371727244828	0.87529437986264	0.0937187262117849	0.494035993008346	0.0672391397210634	NA_[1844_526.52_6.6]	NA	Oxoceromelissic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.99	0.928	0.676
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1579	Untreated	PET	0.54468732691059	0.54468732691059	0.521081751641884	0.44672116056321	0.248738088186589	0.358282932651296	0.793425415097179	0.874765256073589	0.0902009837995336	0.58423697680788	0.0644767032586627	NA_[1579_556.53_5.9]	NA	7-Octadecanoyloxy-hexadecanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Diacylglycerols	0.994	0.958	0.435
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2366	Untreated	PET	0.525444046223844	0.525444046223844	0.577985411246914	0.55880050509348	0.315263388134993	0.411946518746433	0.840707434358836	0.938364938548094	0.0870142695807172	0.671251246388597	0.0715177488587531	NA_[2366_568.57_7.9]	NA	Stearic anhydride	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.997	0.962	0.842
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2055	Untreated	PET	0.492485478562843	0.492485478562843	0.587438494830388	0.620454239735368	0.341195755548967	0.415365961630694	0.83368123411181	0.868356527880901	0.0815562846400582	0.752807531028655	0.072687437997109	Cer(d18:0/15:0)_[2055_543.54_7.1]	Cer(d18:0/15:0)	N-(1,3-dihydroxyoctadecan-2-yl)pentadecanamide	[M + H3N + H]+	-1	Fatty acids	Fatty esters	Fatty acyl carnitines	0.995	0.854	0.156
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2962	Untreated	PET	0.310163609680264	0.310163609680264	0.727970047914056	0.848007303123115	0.572888243073924	0.724748828251891	0.883051852754188	0.971265777994338	0.0513635279356641	0.80417105896432	0.0900762857510444	NA_[2962_624.63_9.5]	NA	icosanoyl icosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.998	0.942	0.81
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2224	Untreated	PET	0.27674627878302	0.27674627878302	0.476120465359863	0.474354868305855	0.337747325968353	0.170317972232699	0.614493604751373	0.843480814254119	0.0458295711608984	0.850000630125218	0.0589133621809925	NA_[2224_728.56_7.5]	NA	[3-(methylaminomethyl)-5-[[(9Z,12Z)-octadeca-9,12-dienoyl]oxymethyl]phenyl]methyl (9Z,12Z)-octadeca-9,12-dienoate	[M + Na]+	48	Fatty acids	Fatty esters	Ceramides	0.996	0.839	0.139
