data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Aminoacids	NPC class: Aminoacids	494	PET	Untreated	9113206.1	9113206.1	6562681.15	2123627.7	11119284.2	13479827	2006078.1	2085832.9	0.37177283702729	0.37177283702729	0.121491649533678	NA_[494_152.11_1.9]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.961	0.971	0.976
raw	class	Aminoacids	NPC class: Aminoacids	112	PET	Untreated	8612123.5	8612123.5	16235089.9166667	15527448.5	20541151.6666667	21115402	11929028.1666667	10063777	0.351331194674111	0.723104031701401	0.300552138557487	gabapentin_[112_154.12_0.7]	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	[M - H2O + H]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.998	0.999	0.999
raw	class	Aminoacids	NPC class: Aminoacids	535	PET	Untreated	3315411.2	3315411.2	2729109.93333333	1100169.7	4386815.53333333	5106115	1071404.33333333	1013873.6	0.135252052264686	0.858356083966087	0.0505226537722942	NA_[535_210.11_2.1]	NA	Gabapentinalcohol	[M + Na]+	638	Amino acids and Peptides	Small peptides	Aminoacids	0.952	0.962	0.916
raw	class	Aminoacids	NPC class: Aminoacids	211	PET	Untreated	1328686.83333333	1328686.83333333	13355644.25	13674256.5	14019987.6666667	12604076	12691300.8333333	14744437	0.0542037201977841	0.912559804163871	0.247246394184102	NA_[211_293.23_1]	NA	3-[[N-amino-N'-(3-methoxypropyl)carbamimidoyl]amino]-N-(2-methoxyethyl)propanamide	[M + H3N + H]+	90	Amino acids and Peptides	Small peptides	Aminoacids	0.954	0.98	0.733
raw	class	Aminoacids	NPC class: Aminoacids	78	PET	Untreated	1162516.53333333	1162516.53333333	4643613.4	4545561.25	5224871.66666667	5109182	4062355.13333333	3981940.5	0.0474248102090508	0.959984614372921	0.0859649035002544	NA_[78_217.19_0.6]	NA	2-[1-(Aminomethyl)-3,3-diethylcyclobutyl]acetic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.971	0.978	0.964
raw	class	Aminoacids	NPC class: Aminoacids	55	Untreated	PET	491954.233333333	491954.233333333	2993797.18333333	2933416.65	2747820.06666667	2713882.8	3239774.3	3152950.5	0.0200692510415098	0.980053865414431	0.0554226770825891	NA_[55_152.11_0.6]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.873	0.857	0.868
raw	class	Aminoacids	NPC class: Aminoacids	10	Untreated	PET	377902.233333333	377902.233333333	1367230.28333333	1095195.25	1178279.16666667	1176516.9	1556181.4	1013873.6	0.0154165047803848	0.995470370194816	0.0253108536919494	NA_[10_216.12_0.5]	NA	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	[M + H]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.97	0.979	0.964
raw	class	Aminoacids	NPC class: Aminoacids	37	PET	Untreated	58588.2	58588.2	1668191.43333333	1442392.55	1697485.53333333	1292756.5	1638897.33333333	1592028.6	0.00239010300999582	0.997860473204812	0.0308823976574904	NA_[37_123.06_0.5]	NA	(6-Methoxypyridazin-3-yl)methanol	[M - H2O + H]+	-1	Amino acids and Peptides	Nicotinic acid alkaloids	Aminoacids	0.607	0.787	0.866
raw	class	Aminoacids	NPC class: Aminoacids	45	Untreated	PET	51474.2	51474.2	1592364.3	1248525.55	1566627.2	1483177.5	1618101.4	1013873.6	0.00209988769679094	0.999960360901603	0.0294786476812971	NA_[45_180.1_0.6]	NA	2-[1-(Aminomethyl)cyclopentyl]acetate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.953	0.969	0.975
raw	class	Aminoacids	NPC class: Aminoacids	2425	PET	Untreated	971.666666666511	971.666666666511	1855953.7	1814277.4	1856439.53333333	1742889.8	1855467.86666667	1885665	3.96390983971557e-05	1	0.0343583470410005	NA_[2425_184.07_8.1]	NA	(2R)-2-(aminomethyl)-4-methylpentanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.833	0.824	0.833
raw	class	Aminoacids	NPC class: Aminoacids	1532	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.0187693372978585	4-(trimethylammonio)butanoate_[1532_184.07_5.8]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.825	0.805	0.813
