data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	496	PET	Untreated	76417773.3333333	76417773.3333333	55217866.6666667	18123937	93426753.3333333	112312430	17008980	17194934	0.393111928714275	0.393111928714275	0.0726783812632176	NA_[496_170.12_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.938	0.527	0.783
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	551	Untreated	PET	75785046.6666666	75785046.6666666	615904243.333333	591560030	578011720	567318400	653796766.666667	709295700	0.38985702622978	0.782968954944055	0.810660138118584	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	499	PET	Untreated	28611438.8333333	28611438.8333333	20438467.9166667	6560225.75	34744187.3333333	42192530	6132748.5	6329044.5	0.147184318679383	0.930153273623438	0.0269013428687974	NA_[499_153.09_1.9]	NA	(3Z)-3-(hydroxymethylidene)cycloheptene-1-carbaldehyde	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.899	0.588	0.814
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	374	Untreated	PET	5610185.33333333	5610185.33333333	28371073.3333333	26727513	25565980.6666667	25045552	31176166	31136366	0.0288601810891708	0.959013454712609	0.0373423279282799	4E,9Z-Tetradecadienal_[374_226.22_1.5]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.988	0.983	0.828
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	353	PET	Untreated	3330902.8	3330902.8	4497558.26666667	3293366.25	6163009.66666667	7191556.5	2832106.86666667	2927042.5	0.0171349879347586	0.976148442647367	0.0059197371103013	NA_[353_170.12_1.4]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.982	0.602	0.811
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	450	PET	Untreated	2777283.5	2777283.5	6089495.75	5857415.25	7478137.5	7414525	4700854	5162188.5	0.0142870333123813	0.990435475959749	0.00801506324920031	NA_[450_170.12_1.7]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.681	0.865
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	760	PET	Untreated	721766.333333334	721766.333333334	7126065.5	7181747.5	7486948.66666667	7562026	6765182.33333333	7126077	0.00371294455466596	0.994148420514415	0.00937940808981503	4E,9Z-Tetradecadienal_[760_226.22_2.9]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.951	0.89	0.795
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	253	PET	Untreated	576289	576289	15340380.8333333	15422479.5	15628525.3333333	14526876	15052236.3333333	16318083	0.00296457316675049	0.997112993681165	0.0201911829310312	9E,11E-Hexadecadienal_[253_254.25_1.1]	9E,11E-Hexadecadienal	hexadeca-9,11-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.971	0.705
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	51	Untreated	PET	287977.466666666	287977.466666666	3211108.3	3129093.75	3067119.56666667	2902151.5	3355097.03333333	3356036	0.00148142732259124	0.998594421003756	0.00422649709945722	NA_[51_153.09_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.898	0.623	0.856
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	765	Untreated	PET	273233.166666667	273233.166666667	3560158.81666667	3561121.85	3423542.23333333	3463105.5	3696775.4	3792664.2	0.00140557899624366	1	0.00468592134131656	NA_[765_184.17_2.9]	NA	Cyclobutyl(cyclohexyl)methanone	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.841	0.772	0.729
