data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2572	PET	Untreated	7200906.66666666	7200906.66666666	44897334.6666667	42726898	48497788	45783140	41296881.3333333	39670656	0.238030820982325	0.238030820982325	0.275077125498326	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2572_828.69_8.5]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M + O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1641	PET	Untreated	5812583	5812583	14553144.5	14852490	17459436	16176200	11646853	10969688	0.192138846893063	0.430169667875388	0.0891642496318141	HexCer(d18:1/16:0)_[1641_700.57_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2571	PET	Untreated	2882204.33333333	2882204.33333333	16027478.1666667	15329712	17468580.3333333	15727357	14586376	14932067	0.0952732059252929	0.525442873800681	0.0981972015890529	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine_[2571_810.68_8.5]	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine	Beta-D-Galactosyl-N-[(15Z)-Tetracosenoyl]Sphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2040	Untreated	PET	2030441.83333333	2030441.83333333	6750663.58333333	6149157.5	5735442.66666667	5668419	7765884.5	8051262.5	0.0671176226713845	0.592560496472066	0.0413599860102214	Termitomycesphin A_[2040_726.54_7.1]	Termitomycesphin A	Termitomycesphin A	[M - H2O + H]+	48	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.994	0.986	0.812
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1646	PET	Untreated	1962865.56666667	1962865.56666667	5699529.88333333	5559798	6680962.66666667	6857385.5	4718097.1	4844795.5	0.0648838436518555	0.657444340123921	0.0349198968856193	HexCer(d18:1/16:0)_[1646_722.55_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + Na]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.986	0.999	0.999
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2648	PET	Untreated	1497618.33333333	1497618.33333333	10618184.1666667	10942039	11366993.3333333	11296236	9869375	9335580	0.0495047829256938	0.706949123049615	0.0650555227891294	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2648_812.7_8.7]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2476	PET	Untreated	1263648.5	1263648.5	4290219.15	4049236.6	4922043.4	4841484	3658394.9	3821363.5	0.0417707524637755	0.748719875513391	0.026285327632512	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine_[2476_810.68_8.3]	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine	Beta-D-Galactosyl-N-[(15Z)-Tetracosenoyl]Sphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1644	PET	Untreated	933940.866666667	933940.866666667	2512875.8	2631529.85	2979846.23333333	2790310	2045905.36666667	2063068.1	0.0308720445260982	0.779591920039489	0.0153958950331968	HexCer(d18:1/16:0)_[1644_682.56_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M - H2O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1802	PET	Untreated	696344.5	696344.5	7230321.91666667	7666464.5	7578494.16666667	7378777.5	6882149.66666667	7954151.5	0.0230181365617191	0.802610056601208	0.0442987581340956	NA_[1802_670.47_6.5]	NA	NA	[M - H2O + H]+	327	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.963	0.905	0.847
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1462	Untreated	PET	673686.333333333	673686.333333333	5273608.83333333	5169153.75	4936765.66666667	4747065.5	5610452	5497598	0.0222691555981708	0.824879212199379	0.0323103625114059	NA_[1462_706.58_5.5]	NA	2-[(2S,3S,4R)-3,4-dihydroxy-2-(tricosoxymethylamino)nonoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	[M + H]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.992	0.996	0.973
