data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Wax monoesters	NPC class: Wax monoesters	2366	Untreated	PET	148203973.333333	148203973.333333	374529053.333333	369117860	300427066.666667	327697000	448631040	476175800	0.428796186120238	0.428796186120238	0.488307431548277	NA_[2366_568.57_7.9]	NA	Stearic anhydride	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.997	0.962	0.842
raw	class	Wax monoesters	NPC class: Wax monoesters	1147	Untreated	PET	128260140	128260140	218362070	214595270	154232000	164618720	282492140	287445060	0.371093012058119	0.799889198178356	0.28469839816236	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
raw	class	Wax monoesters	NPC class: Wax monoesters	2422	PET	Untreated	13945276.6	13945276.6	14241730.0333333	8871179	21214368.3333333	22891672	7269091.73333333	8456457	0.0403476457882987	0.840236843966655	0.0185682326951323	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
raw	class	Wax monoesters	NPC class: Wax monoesters	2381	PET	Untreated	6934923.16666667	6934923.16666667	9137912.58333333	6520228.5	12605374.1666667	13504827	5670451	6242131	0.0200647023019775	0.860301546268632	0.0119139238560189	NA_[2381_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.977	0.904
raw	class	Wax monoesters	NPC class: Wax monoesters	1224	PET	Untreated	5544818.83333333	5544818.83333333	10968710.65	9815711.25	13741120.0666667	13116742	8196301.23333333	6514680.5	0.016042735663459	0.876344281932091	0.0143009010308494	NA_[1224_396.38_4.5]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.925	0.947	0.848
raw	class	Wax monoesters	NPC class: Wax monoesters	1417	PET	Untreated	5452024.33333333	5452024.33333333	11731191.5	9828087.5	14457203.6666667	10506580	9005179.33333333	9025286	0.015774254820483	0.892118536752574	0.0152950163395405	NA_[1417_396.38_5.3]	NA	Methyl 3-(2-octadecylcyclopropen-1-yl)propanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.953	0.982	0.904
raw	class	Wax monoesters	NPC class: Wax monoesters	833	Untreated	PET	5345257.66666667	5345257.66666667	8895546.83333333	8508449	6222918	6368868	11568175.6666667	12685962	0.0154653485311187	0.907583885283693	0.011597929687277	NA_[833_428.41_3.2]	NA	ethyl 14-oxotetracosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.987	0.96	0.81
raw	class	Wax monoesters	NPC class: Wax monoesters	2962	Untreated	PET	4277578	4277578	24932369	26587846	22793580	24887944	27071158	28287748	0.0123762480247842	0.919960133308477	0.0325065864996282	NA_[2962_624.63_9.5]	NA	icosanoyl icosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.998	0.942	0.81
raw	class	Wax monoesters	NPC class: Wax monoesters	1964	Untreated	PET	4195639.66666667	4195639.66666667	9936192.5	9807233.5	7838372.66666667	8880477	12034012.3333333	11914976	0.0121391771552242	0.932099310463701	0.0129547136486792	12-(octadecanoyloxy)octadecanoate_[1964_584.56_6.9]	12-(octadecanoyloxy)octadecanoate	12-Octadecanoyloxy-octadecanoic acid	[M + H3N + H]+	168	Fatty acids	Glycerolipids	Wax monoesters	0.999	0.963	0.771
raw	class	Wax monoesters	NPC class: Wax monoesters	1421	PET	Untreated	3608340.13333333	3608340.13333333	6373482.6	5551836	8177652.66666667	6333220.5	4569312.53333333	4657785	0.0104399528069193	0.942539263270621	0.00830968623321656	(2E)-geranyl hexadecanoate_[1421_410.4_5.3]	(2E)-geranyl hexadecanoate	Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadienyl ester	[M + H3N + H]+	130	Fatty acids	Fatty esters	Wax monoesters	0.934	0.975	0.872
