data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2366	Untreated	PET	148203973.333333	148203973.333333	374529053.333333	369117860	300427066.666667	327697000	448631040	476175800	0.251555497573637	0.251555497573637	0.284709882898224	NA_[2366_568.57_7.9]	NA	Stearic anhydride	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.997	0.962	0.842
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1382	Untreated	PET	139369113.333333	139369113.333333	255522583.333333	242167665	185838026.666667	207216100	325207140	352998460	0.236559559520784	0.48811505709442	0.194243421521527	NA_[1382_484.47_5.1]	NA	14-oxotriacontanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.995	0.95	0.67
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1147	Untreated	PET	128260140	128260140	218362070	214595270	154232000	164618720	282492140	287445060	0.217703632439034	0.705818689533454	0.165994704084498	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1844	Untreated	PET	60177383.3333333	60177383.3333333	120014671.666667	117614125	89925980	98756190	150103363.333333	155305490	0.102142683941736	0.80796137347519	0.0912328771618005	NA_[1844_526.52_6.6]	NA	Oxoceromelissic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.99	0.928	0.676
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2422	PET	Untreated	13945276.6	13945276.6	14241730.0333333	8871179	21214368.3333333	22891672	7269091.73333333	8456457	0.0236701548211865	0.831631528296377	0.0108262930578304	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1579	Untreated	PET	10324963.3333333	10324963.3333333	19459257.6666667	18049696	14296776	16373282	24621739.3333333	26163598	0.0175251798607619	0.849156708157139	0.0147925586072816	NA_[1579_556.53_5.9]	NA	7-Octadecanoyloxy-hexadecanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Diacylglycerols	0.994	0.958	0.435
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2421	PET	Untreated	7516253.36666667	7516253.36666667	7642679.25	4748873.75	11400805.9333333	12312326	3884552.56666667	4502523	0.0127577878852732	0.861914496042412	0.00580981981218845	NA_[2421_412.38_8]	NA	4-hydroxy-3-(icos-11-en-1-yl)-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.695	0.866	0.665
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2381	PET	Untreated	6934923.16666667	6934923.16666667	9137912.58333333	6520228.5	12605374.1666667	13504827	5670451	6242131	0.0117710612515232	0.873685557293935	0.00694646783308303	NA_[2381_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.977	0.904
raw	superclass	Fatty esters	NPC superclass: Fatty esters	501	PET	Untreated	6603132.86666667	6603132.86666667	4873683.1	1647359.5	8175249.53333333	9923007	1572116.66666667	1588560.1	0.0112078936647886	0.884893450958724	0.00370488145668393	NA_[501_125.1_1.9]	NA	[(Z)-2-methoxyethenoxy]cyclopentane	[M - H2O + H]+	429	Fatty acids	Fatty esters	Lactones	0.994	0.709	0.849
raw	superclass	Fatty esters	NPC superclass: Fatty esters	924	PET	Untreated	6561340.83333333	6561340.83333333	8404516.58333333	6501659.5	11685187	11637738	5123846.16666667	5979956	0.0111369575386961	0.89603040849742	0.00638895410372173	NA_[924_412.38_3.5]	NA	(3S,4R,5R)-4-hydroxy-3-icos-1-en-9-yl-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.884	0.773	0.532
