data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2335	Untreated	PET	36331587.3333333	36331587.3333333	72944398.3333333	72244645	54778604.6666667	59571660	91110192	89331720	0.239094338090642	0.239094338090642	0.0967715415119524	NA_[2335_526.52_7.8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Diacylglycerols	0.988	0.962	0.578
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1622	Untreated	PET	8864130	8864130	35561578.3333333	33143802	31129513.3333333	31791100	39993643.3333333	40825440	0.0583339031035108	0.297428241194153	0.0471776974318002	NA_[1622_904.59_6.1]	NA	2-(6-{3-[20-(2-amino-3-hydroxypropoxy)-8-hydroxyicosyl]oxiran-2-yl}-2,6-dihydroxyhexanamido)-1-[4-(3-hydroxy-2-propanamidopropoxy)phenyl]ethyl acetate	[M + Na]+	10	Fatty acids	Glycerolipids	Glycerophosphoserines	1	0.803	0.683
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1623	Untreated	PET	7869318.66666667	7869318.66666667	31653564	30389012	27718904.6666667	27348750	35588223.3333333	33918770	0.0517871548129351	0.349215396007088	0.0419931379600875	1-stearoyl-2-arachidonoyl-sn-glycerol_[1623_627.53_6.1]	1-stearoyl-2-arachidonoyl-sn-glycerol	1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2702	PET	Untreated	7460263.33333333	7460263.33333333	9002801.33333333	6929429.25	12732933	12870964	5272669.66666667	5271801.5	0.0490952048777873	0.398310600884876	0.0119435485501072	NA_[2702_560.56_8.9]	NA	1-(1,2,2-Trioctoxyethoxy)octane	[M + H3N + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.944
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3462	PET	Untreated	7134861.33333334	7134861.33333334	44420192.6666667	45760265	47987623.3333333	46205300	40852762	38208680	0.0469537686919813	0.445264369576857	0.0589299605840593	triolein_[3462_902.82_11.6]	triolein	Olein	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2412	Untreated	PET	6111612	6111612	11895211.3333333	11513029.5	8839405.33333333	10119329	14951017.3333333	15370370	0.0402198729276594	0.485484242504516	0.0157807585453904	NA_[2412_526.52_8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Wax monoesters	0.991	0.935	0.576
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2707	Untreated	PET	4933101.66666667	4933101.66666667	8935607.83333333	5755935.5	6469057	6892463	11402158.6666667	3574181.2	0.0324642209244563	0.517948463428973	0.011854406426474	NA_[2707_313.27_8.9]	NA	methyl 11-oxooctadecanoate	[M + H]+	79	Fatty acids	Glycerolipids	Monoacylglycerols	0.999	0.956	0.923
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3376	Untreated	PET	4357286.33333333	4357286.33333333	16479412.8333333	16653267	14300769.6666667	14136382	18658056	16790612	0.0286748410462074	0.54662330447518	0.0218623803819185	NA_[3376_922.79_11.1]	NA	1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1964	Untreated	PET	4195639.66666667	4195639.66666667	9936192.5	9807233.5	7838372.66666667	8880477	12034012.3333333	11914976	0.0276110614095889	0.574234365884769	0.0131818300918812	12-(octadecanoyloxy)octadecanoate_[1964_584.56_6.9]	12-(octadecanoyloxy)octadecanoate	12-Octadecanoyloxy-octadecanoic acid	[M + H3N + H]+	168	Fatty acids	Glycerolipids	Wax monoesters	0.999	0.963	0.771
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3430	PET	Untreated	4045911.33333334	4045911.33333334	36551836.3333333	36835186	38574792	38055456	34528880.6666667	34491828	0.0266257150655578	0.600860080950327	0.0484914212453361	1,2-dioleoyl-3-linoleoyl-sn-glycerol_[3430_900.8_11.4]	1,2-dioleoyl-3-linoleoyl-sn-glycerol	1,2-Dioleoyl-3-Linoleoyl-Sn-Glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.995	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2943	PET	Untreated	3632821.13333333	3632821.13333333	2830284.16666667	1013873.6	4646694.73333333	1013873.6	1013873.6	1013873.6	0.0239072120991291	0.624767293049456	0.00375479088159187	NA_[2943_600.55_9.4]	NA	[(2S)-3-hydroxy-2-(10-methylundecanoyloxy)propyl] 19-methylicosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2683	Untreated	PET	3248929.66666667	3248929.66666667	6548668.83333333	4374902.5	4924204	4939651.5	8173133.66666667	3810153.5	0.0213808629121476	0.646148155961603	0.00868777853176634	NA_[2683_561.56_8.8]	NA	(2R)-3-[(3S,11S)-3,11-dimethyltetradecoxy]-2-[(3R)-3-methyl-5-[(1R,4S,5S)-2-(6-methylheptyl)-5-bicyclo[2.1.0]pentanyl]pentoxy]propan-1-ol	[M - H2O + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.997
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1621	Untreated	PET	3096358.66666667	3096358.66666667	15517253.3333333	15173003.5	13969074	14162285	17065432.6666667	16432761	0.0203768092790888	0.666524965240692	0.0205859333877314	NA_[1621_887.56_6.1]	NA	methyl (3R,8Z,12Z,13E,19E,21S,22S)-16-ethenyl-11-ethyl-14-hydroxy-12-(hydroxymethylidene)-17,21,26-trimethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,23,24,25-tetrazahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-2(6),5(26),8,10,13,15,17,19-octaene-3-carboxylate	[M - H2O + H]+	10	Fatty acids	Glycerolipids	Diacylglycerols	1	0.978	0.519
