data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Macrolides	NPC superclass: Macrolides	927	Untreated	PET	138672263.333333	138672263.333333	187364435	167406570	118028303.333333	136073500	256700566.666667	269181400	0.139012492084421	0.139012492084421	0.0938480472003943	NA_[927_530.35_3.5]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.782	0.811	0.553
raw	superclass	Macrolides	NPC superclass: Macrolides	1592	Untreated	PET	97524021.5	97524021.5	61606623.25	21021429	12844612.5	8592366	110368634	102297500	0.097763294121925	0.236775786206346	0.0308578374899319	NA_[1592_530.35_5.9]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	-1	Polyketides	Macrolides	Erythromycins	0.884	0.76	0.605
raw	superclass	Macrolides	NPC superclass: Macrolides	1332	Untreated	PET	96298618.1666667	96298618.1666667	83416981.5833333	50075500	35267672.5	37173628	131566290.666667	153197950	0.0965348842937407	0.333310670500087	0.0417823202410163	NA_[1332_530.35_4.9]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.894	0.868	0.664
raw	superclass	Macrolides	NPC superclass: Macrolides	1653	Untreated	PET	93248956.8333333	93248956.8333333	51007949.25	6481373.75	4383470.83333333	5373385.5	97632427.6666667	87200650	0.0934777406965304	0.426788411196617	0.025549119974713	NA_[1653_530.35_6.1]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.654	0.758	0.363
raw	superclass	Macrolides	NPC superclass: Macrolides	1549	Untreated	PET	84788364.6666667	84788364.6666667	59439181.6666667	46733678	17044999.3333333	15559499	101833364	110803480	0.0849963906894915	0.511784801886109	0.0297721983716181	NA_[1549_530.35_5.8]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.912	0.816	0.626
raw	superclass	Macrolides	NPC superclass: Macrolides	1218	Untreated	PET	75138493	75138493	127251986.833333	128119660	89682740.3333333	121848360	164821233.333333	183966020	0.0753228433164767	0.587107645202586	0.0637386196941731	NA_[1218_530.35_4.4]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.884	0.787	0.631
raw	superclass	Macrolides	NPC superclass: Macrolides	1517	Untreated	PET	66417697.9333333	66417697.9333333	59908847.7	61495144	26699998.7333333	23492524	93117696.6666667	68855336	0.0665806520084658	0.653688297211051	0.0300074470732444	NA_[1517_530.35_5.7]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.828	0.852	0.621
raw	superclass	Macrolides	NPC superclass: Macrolides	807	Untreated	PET	59608753.3333333	59608753.3333333	125340573.333333	115476160	95536196.6666667	97458040	155144950	126203150	0.059755001841961	0.713443299053012	0.0627812212190171	NA_[807_507.27_3]	NA	4-amino-5-(2-{1,10-dihydroxy-9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}-2-oxoethoxy)-5-oxopentanoic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Macrolides	3-Spirotetramic acids	0.704	0.796	0.253
raw	superclass	Macrolides	NPC superclass: Macrolides	1134	Untreated	PET	50564226	50564226	150276807	172418565	124994694	162039820	175558920	182797310	0.0506882839986811	0.764131583051693	0.0752714082395656	NA_[1134_530.35_4.1]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	-1	Polyketides	Macrolides	Open-chain polyketides	0.837	0.874	0.509
raw	superclass	Macrolides	NPC superclass: Macrolides	783	Untreated	PET	40271525.3333333	40271525.3333333	124393437.333333	113971660	104257674.666667	113527440	144529200	132325490	0.0403703304616209	0.804501913513314	0.0623068149421098	NA_[783_507.27_3]	NA	4-amino-5-(2-{1,10-dihydroxy-9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}-2-oxoethoxy)-5-oxopentanoic acid	[M + H3N + H]+	238	Amino acids and Peptides	Macrolides	3-Spirotetramic acids	0.678	0.759	0.253
