data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Small peptides	NPC superclass: Small peptides	494	PET	Untreated	9113206.1	9113206.1	6562681.15	2123627.7	11119284.2	13479827	2006078.1	2085832.9	0.238563680589791	0.238563680589791	0.0593241766890668	NA_[494_152.11_1.9]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.961	0.971	0.976
raw	superclass	Small peptides	NPC superclass: Small peptides	112	PET	Untreated	8612123.5	8612123.5	16235089.9166667	15527448.5	20541151.6666667	21115402	11929028.1666667	10063777	0.225446440836429	0.46401012142622	0.146759124931617	gabapentin_[112_154.12_0.7]	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	[M - H2O + H]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.998	0.999	0.999
raw	superclass	Small peptides	NPC superclass: Small peptides	754	Untreated	PET	4694038.96666667	4694038.96666667	6592845.85	7608923.25	4245826.36666667	4256713.5	8939865.33333333	9056815	0.1228796101429	0.58688973156912	0.059596854265757	NA_[754_415.21_2.9]	NA	NA	[M + K]+	186	Amino acids and Peptides	Small peptides	Dipeptides	0.822	0.749	0.325
raw	superclass	Small peptides	NPC superclass: Small peptides	535	PET	Untreated	3315411.2	3315411.2	2729109.93333333	1100169.7	4386815.53333333	5106115	1071404.33333333	1013873.6	0.0867901691086099	0.67367990067773	0.024670130422069	NA_[535_210.11_2.1]	NA	Gabapentinalcohol	[M + Na]+	638	Amino acids and Peptides	Small peptides	Aminoacids	0.952	0.962	0.916
raw	superclass	Small peptides	NPC superclass: Small peptides	441	PET	Untreated	3069864	3069864	25564510	25276895	27099442	28891566	24029578	20190874	0.0803622837795908	0.75404218445732	0.231093584092443	NA_[441_321.26_1.7]	NA	(NE)-N-[1-amino-4-[2-[[(3E)-3-hydroxyimino-2-methylbutan-2-yl]amino]oxyethylamino]-4-methylpentan-3-ylidene]hydroxylamine	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Dipeptides	0.963	0.98	0.75
raw	superclass	Small peptides	NPC superclass: Small peptides	212	Untreated	PET	1863491.66666667	1863491.66666667	8117990.66666667	7409827.25	7186244.83333333	7105897	9049736.5	9226218	0.0487821109135679	0.802824295370888	0.073383591502008	NA_[212_277.24_1]	NA	NA	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Dipeptides	0.804	0.713	0.446
raw	superclass	Small peptides	NPC superclass: Small peptides	28	Untreated	PET	1417574.76666667	1417574.76666667	3375584.71666667	3123727.5	2666797.33333333	2769556.8	4084372.1	3882618.8	0.0371089877850139	0.839933283155902	0.0305140200450614	NA_[28_209.13_0.5]	NA	Dimethyl pimelimidate	[M + Na]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.592	0.719	0.642
raw	superclass	Small peptides	NPC superclass: Small peptides	211	PET	Untreated	1328686.83333333	1328686.83333333	13355644.25	13674256.5	14019987.6666667	12604076	12691300.8333333	14744437	0.0347820973028574	0.87471538045876	0.120730015853859	NA_[211_293.23_1]	NA	3-[[N-amino-N'-(3-methoxypropyl)carbamimidoyl]amino]-N-(2-methoxyethyl)propanamide	[M + H3N + H]+	90	Amino acids and Peptides	Small peptides	Aminoacids	0.954	0.98	0.733
raw	superclass	Small peptides	NPC superclass: Small peptides	803	Untreated	PET	1322269.5	1322269.5	8225145.08333333	8007623	7564010.33333333	7782165.5	8886279.83333333	9016009	0.0346141056385878	0.909329486097347	0.0743522272473767	NA_[803_582.35_3.1]	NA	tert-butyl N-[(4S)-5-[[(2S)-2,5-bis[(2-methylpropan-2-yl)oxycarbonylamino]pentyl]amino]-4-formamido-5-oxopentyl]carbamate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Tripeptides	0.84	0.757	0.421
raw	superclass	Small peptides	NPC superclass: Small peptides	78	PET	Untreated	1162516.53333333	1162516.53333333	4643613.4	4545561.25	5224871.66666667	5109182	4062355.13333333	3981940.5	0.0304321245339205	0.939761610631268	0.0419765238506701	NA_[78_217.19_0.6]	NA	2-[1-(Aminomethyl)-3,3-diethylcyclobutyl]acetic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.971	0.978	0.964
raw	superclass	Small peptides	NPC superclass: Small peptides	1305	PET	Untreated	561387	561387	2215045.36666667	1840035.7	2495738.86666667	1872118.6	1934351.86666667	1635983.5	0.014695876235616	0.954457486866884	0.0200231795058994	NA_[1305_446.36_4.8]	NA	2-[[2-[[(2S)-2-hydroxyhexadecanoyl]amino]-3-methylbutanoyl]amino]acetic acid	[M + H3N + H]+	363	Amino acids and Peptides	Small peptides	Dipeptides	0.728	0.796	0.27
raw	superclass	Small peptides	NPC superclass: Small peptides	31	Untreated	PET	508668.866666666	508668.866666666	2335641.73333333	2006941.5	2081307.3	1953693.4	2589976.16666667	2060189.6	0.0133158315198685	0.967773318386752	0.0211133254387385	NA_[31_261.13_0.5]	NA	Imidazole-5-methanol, 2-nitro-alpha,alpha,1-trimethyl-, 5-carboxhydrazide	[M + H3N + H]+	814	Amino acids and Peptides	Small peptides	Aminoacids	0.836	0.913	0.534
raw	superclass	Small peptides	NPC superclass: Small peptides	55	Untreated	PET	491954.233333333	491954.233333333	2993797.18333333	2933416.65	2747820.06666667	2713882.8	3239774.3	3152950.5	0.0128782792025003	0.980651597589253	0.0270628039083229	NA_[55_152.11_0.6]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.873	0.857	0.868
raw	superclass	Small peptides	NPC superclass: Small peptides	10	Untreated	PET	377902.233333333	377902.233333333	1367230.28333333	1095195.25	1178279.16666667	1176516.9	1556181.4	1013873.6	0.00989264883267613	0.990544246421929	0.0123592490704976	NA_[10_216.12_0.5]	NA	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	[M + H]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.97	0.979	0.964
raw	superclass	Small peptides	NPC superclass: Small peptides	497	Untreated	PET	308766.833333333	308766.833333333	1847936.65	1848617.1	1693553.23333333	1709603.6	2002320.06666667	1987630.6	0.00808283620448949	0.998627082626418	0.0167046543674916	NA_[497_280.16_1.9]	NA	5-carbamimidamido-2-[(2-carboxyethyl)amino]-3-hydroxypentanoic acid	[M + H3N + H]+	3	Amino acids and Peptides	Small peptides	Tripeptides	0.784	0.898	0.296
raw	superclass	Small peptides	NPC superclass: Small peptides	45	Untreated	PET	51474.2	51474.2	1592364.3	1248525.55	1566627.2	1483177.5	1618101.4	1013873.6	0.00134748127856068	0.999974563904979	0.014394376159287	NA_[45_180.1_0.6]	NA	2-[1-(Aminomethyl)cyclopentyl]acetate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.953	0.969	0.975
raw	superclass	Small peptides	NPC superclass: Small peptides	2425	PET	Untreated	971.666666666511	971.666666666511	1855953.7	1814277.4	1856439.53333333	1742889.8	1855467.86666667	1885665	2.54360950210899e-05	1	0.0167771254932182	NA_[2425_184.07_8.1]	NA	(2R)-2-(aminomethyl)-4-methylpentanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.833	0.824	0.833
raw	superclass	Small peptides	NPC superclass: Small peptides	1532	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.00916503715661704	4-(trimethylammonio)butanoate_[1532_184.07_5.8]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.825	0.805	0.813
