"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","PET_vs_Untreated_p_value","PET_vs_Untreated_p_value_minus_log10","PET_vs_Untreated_fold_change","PET_vs_Untreated_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","PET","PET.pval","Untreated","Untreated.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
85,"85_262.24_0.6","NA_[85_262.24_0.6]",262.237692323132,0.60476273,0.00733803448788773,2.13442025144296,1.55237249454635,0.634474776310509,"PEG-3 caprylamine",NA,NA,0.871,0.871,-35.612,66.067,0.673,"InChI=1S/C14H31NO3/c1-2-3-4-5-6-7-8-15(9-11-16)10-13-18-14-12-17/h16-17H,2-14H2,1H3","CHGRVRCHXOZULD","C14H31NO3","[M + H]+","CCCCCCCCN(CCO)CCOCCO","Fatty acids","Sphingoid bases","Spingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67131567616219,0.0459081836327345,1.67131567616219,0.0439121756487026,1.70266414755955,0.0459081836327345,0.0573333333333333,0.0499001996007984
115,"115_290.27_0.7","7R-hydroxy-hexadecanoic acid_[115_290.27_0.7]",290.268898997332,0.671533,0.0131854875391837,1.87990380734475,1.52540523646403,0.609192557412524,"7-hydroxyhexadecanoic acid","7R-hydroxy-hexadecanoic acid","CHEBI:187327",0.377,0.111,-104.559,141.376,0.505,"InChI=1S/C16H32O3/c1-2-3-4-5-6-7-9-12-15(17)13-10-8-11-14-16(18)19/h15,17H,2-14H2,1H3,(H,18,19)","PHFQJBDKBCFMOS","C16H32O3","[M + H3N + H]+","CCCCCCCCCC(CCCCCC(=O)O)O","Fatty acids","Fatty alcohols","Fatty acyls","272.235144884|272.235144884","InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-15(17)14-16(18)19/h15,17H,2-14H2,1H3,(H,18,19)|InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)","CBWALJHXHCJYTE-UHFFFAOYSA-N|UGAGPNKCDRTDHP-UHFFFAOYSA-N","CBWALJHXHCJYTE|UGAGPNKCDRTDHP","CCCCCCCCCCCCCC(O)CC(=O)O|O=C(O)CCCCCCCCCCCCCCCO","C16H32O3|C16H32O3","3-Hydroxyhexadecanoic acid|16-Hydroxyhexadecanoic acid","http://www.wikidata.org/entity/Q27117078|http://www.wikidata.org/entity/Q27124231","Fatty acids|Fatty acids","Fatty Acids and Conjugates|Fatty Acids and Conjugates","Fatty acids","Fatty Acids and Conjugates","Hydroxy fatty acids","Homo sapiens|Homo sapiens","['Eukaryota']|['Eukaryota']","['Metazoa']|['Metazoa']","['Chordata']|['Chordata']","['Mammalia']|['Mammalia']","['Primates']|['Primates']","['Hominidae']|['Hominidae']","['Unknown']|['Unknown']","['Homo']|['Homo']","['Homo sapiens']|['Homo sapiens']","nan|nan","770315.0|770315.0","http://www.wikidata.org/entity/Q15978631|http://www.wikidata.org/entity/Q15978631",NA,1.94881009766875,0.0139720558882236,2.00804832225625,0.0119760479041916,1.98341520781671,0.00998003992015968,0.0606666666666667,0.0439121756487026
124,"124_260.26_0.7","NA_[124_260.26_0.7]",260.258401012825,0.70469195,0.0235042311920766,1.6288539497299,1.50653377566913,0.591233017734314,"1-[2-Hydroxypropyl(nonyl)amino]propan-2-ol",NA,NA,0.53,0.53,-39.19,77.994,0.068,"InChI=1S/C15H33NO2/c1-4-5-6-7-8-9-10-11-16(12-14(2)17)13-15(3)18/h14-15,17-18H,4-13H2,1-3H3","VMMJYKPXEDQXFQ","C15H33NO2","[M + H]+","CCCCCCCCCN(CC(C)O)CC(C)O","Fatty acids","Sphingoid bases","Spingolipids","242.2245802","InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)","WQEPLUUGTLDZJY-UHFFFAOYSA-N","WQEPLUUGTLDZJY","CCCCCCCCCCCCCCC(=O)O","C15H30O2","Pentadecanoic acid","http://www.wikidata.org/entity/Q418951","Fatty acids","Fatty Acids and Conjugates","Fatty acids","Fatty Acids and Conjugates","Branched fatty acids","Homo sapiens","['Eukaryota']","['Metazoa']","['Chordata']","['Mammalia']","['Primates']","['Hominidae']","['Unknown']","['Homo']","['Homo sapiens']","nan","770315.0","http://www.wikidata.org/entity/Q15978631",7,1.34406227991274,0.0958083832335329,1.41705050316284,0.0738522954091816,1.38942503594182,0.0858283433133733,0.0506666666666667,0.149700598802395
159,"159_318.3_0.8","NA_[159_318.3_0.8]",318.29995329765,0.79346377,0.0172035105379782,1.76438292217927,1.54237303273354,0.625151732431483,"2,2'-((2-(Dodecyloxy)ethyl)imino)bisethanol",NA,NA,0.439,0.439,-73.221,45.214,0.691,"InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-17-22-18-14-19(12-15-20)13-16-21/h20-21H,2-18H2,1H3","HBHLHEJVEMYNOX","C18H39NO3","[M + H]+","CCCCCCCCCCCCOCCN(CCO)CCO","Fatty acids","Sphingoid bases","Spingolipids","272.235144884|272.235144884","InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-15(17)14-16(18)19/h15,17H,2-14H2,1H3,(H,18,19)|InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)","CBWALJHXHCJYTE-UHFFFAOYSA-N|UGAGPNKCDRTDHP-UHFFFAOYSA-N","CBWALJHXHCJYTE|UGAGPNKCDRTDHP","CCCCCCCCCCCCCC(O)CC(=O)O|O=C(O)CCCCCCCCCCCCCCCO","C16H32O3|C16H32O3","3-Hydroxyhexadecanoic acid|16-Hydroxyhexadecanoic acid","http://www.wikidata.org/entity/Q27117078|http://www.wikidata.org/entity/Q27124231","Fatty acids|Fatty acids","Fatty Acids and Conjugates|Fatty Acids and Conjugates","Fatty acids","Fatty Acids and Conjugates","Hydroxy fatty acids","Homo sapiens|Homo sapiens","['Eukaryota']|['Eukaryota']","['Metazoa']|['Metazoa']","['Chordata']|['Chordata']","['Mammalia']|['Mammalia']","['Primates']|['Primates']","['Hominidae']|['Hominidae']","['Unknown']|['Unknown']","['Homo']|['Homo']","['Homo sapiens']|['Homo sapiens']","nan|nan","770315.0|770315.0","http://www.wikidata.org/entity/Q15978631|http://www.wikidata.org/entity/Q15978631",NA,1.67131567616219,0.0459081836327345,1.67131567616219,0.0459081836327345,1.70266414755955,0.0459081836327345,0.0533333333333333,0.147704590818363
162,"162_319.3_0.8","NA_[162_319.3_0.8]",319.30335257066,0.79271173,0.0213231429529952,1.67114878151497,1.54006986453393,0.622995799576273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94881009766875,0.0159680638722555,2.00804832225625,0.00798403193612774,1.98341520781671,0.0159680638722555,0.054,0.121756487025948
181,"181_288.29_0.9","NA_[181_288.29_0.9]",288.289736722744,0.8720123,0.0197400314798958,1.70465215908613,1.53811263152786,0.62116115154233,"2-[2-Hydroxyethyl(tridecyl)amino]ethanol",NA,NA,0.934,0.934,-31.13,74.278,0.782,"InChI=1S/C17H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-18(14-16-19)15-17-20/h19-20H,2-17H2,1H3","PGNNMVAZUOZRSM","C17H37NO2","[M + H]+","CCCCCCCCCCCCCN(CCO)CCO","Fatty acids","Sphingoid bases","Spingolipids","270.255880328|242.2245802","InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)|InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)","KEMQGTRYUADPNZ-UHFFFAOYSA-N|WQEPLUUGTLDZJY-UHFFFAOYSA-N","KEMQGTRYUADPNZ|WQEPLUUGTLDZJY","CCCCCCCCCCCCCCCCC(=O)O|CCCCCCCCCCCCCCC(=O)O","C17H34O2|C15H30O2","Heptadecanoic acid|Pentadecanoic acid","http://www.wikidata.org/entity/Q902204|http://www.wikidata.org/entity/Q418951","Fatty acids|Fatty acids","Fatty Acids and Conjugates|Fatty Acids and Conjugates","Fatty acids","Sphingolipids","Ceramides","Homo sapiens|Homo sapiens","['Eukaryota']|['Eukaryota']","['Metazoa']|['Metazoa']","['Chordata']|['Chordata']","['Mammalia']|['Mammalia']","['Primates']|['Primates']","['Hominidae']|['Hominidae']","['Unknown']|['Unknown']","['Homo']|['Homo']","['Homo sapiens']|['Homo sapiens']","nan|nan","770315.0|770315.0","http://www.wikidata.org/entity/Q15978631|http://www.wikidata.org/entity/Q15978631",NA,1.34406227991274,0.105788423153693,1.41705050316284,0.0758483033932136,1.38942503594182,0.0998003992015968,0.0553333333333333,0.0698602794411178
247,"247_346.33_1","NA_[247_346.33_1]",346.331838151182,1.0412267,0.00937207686092565,2.02816415838717,1.55836827263204,0.640036210495958,"Peg-3 myristamine",NA,NA,0.777,0.777,-42.312,43.477,0.783,"InChI=1S/C20H43NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-21(15-17-22)16-19-24-20-18-23/h22-23H,2-20H2,1H3","WOGKWSUSGNOHRJ","C20H43NO3","[M + H]+","CCCCCCCCCCCCCCN(CCO)CCOCCO","Fatty acids","Sphingoid bases","Spingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34406227991274,0.125748502994012,1.41705050316284,0.101796407185629,1.38942503594182,0.121756487025948,0.0166666666666667,0.962075848303393
260,"260_286.31_1.1","NA_[260_286.31_1.1]",286.3105769323,1.1029087,0.0479924986114171,1.31882663900479,1.45448082257125,0.540504274531211,"1-(ethenyloxy)hexadecane",NA,NA,0.338,0.171,-90.133,52.82,0.785,"InChI=1S/C18H36O/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-4-2/h4H,2-3,5-18H2,1H3","UKDKWYQGLUUPBF","C18H36O","[M + H3N + H]+","CCCCCCCCCCCCCCCCOC=C","Fatty acids","Fatty alcohols","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41705050316284,0.0918163672654691,1.41705050316284,0.107784431137725,1.41705050316284,0.0738522954091816,0.048,0.215568862275449
280,"280_316.32_1.2","NA_[280_316.32_1.2]",316.320922264714,1.1579045,0.0211284910143629,1.67513151892199,1.51266458414635,0.597092122098831,"1,1'-(Tridecylimino)bis-2-propanol",NA,NA,0.645,0.645,-64.955,55.995,0.748,"InChI=1S/C19H41NO2/c1-4-5-6-7-8-9-10-11-12-13-14-15-20(16-18(2)21)17-19(3)22/h18-19,21-22H,4-17H2,1-3H3","WFAMPSHDEGZREP","C19H41NO2","[M + H]+","CCCCCCCCCCCCCN(CC(C)O)CC(C)O","Fatty acids","Sphingoid bases","Spingolipids","270.255880328|298.287180456","InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)|InChI=1S/C19H38O2/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19(20)21/h15-18H,6-14H2,1-5H3,(H,20,21)","KEMQGTRYUADPNZ-UHFFFAOYSA-N|PAHGJZDQXIOYTH-UHFFFAOYSA-N","KEMQGTRYUADPNZ|PAHGJZDQXIOYTH","CCCCCCCCCCCCCCCCC(=O)O|CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O","C17H34O2|C19H38O2","Heptadecanoic acid|Pristanic acid","http://www.wikidata.org/entity/Q902204|http://www.wikidata.org/entity/Q2057079","Fatty acids|Fatty acids","Fatty Acids and Conjugates|Fatty Acids and Conjugates","Fatty acids","Sphingolipids","Ceramides","Homo sapiens|Homo sapiens","['Eukaryota']|['Eukaryota']","['Metazoa']|['Metazoa']","['Chordata']|['Chordata']","['Mammalia']|['Mammalia']","['Primates']|['Primates']","['Hominidae']|['Hominidae']","['Unknown']|['Unknown']","['Homo']|['Homo']","['Homo sapiens']|['Homo sapiens']","nan|nan","770315.0|770315.0","http://www.wikidata.org/entity/Q15978631|http://www.wikidata.org/entity/Q15978631",NA,1.94881009766875,0.00598802395209581,1.94881009766875,0.00798403193612774,1.96874807739539,0.00598802395209581,0.054,0.0978043912175649
281,"281_317.32_1.2","NA_[281_317.32_1.2]",317.324360381716,1.1594584,0.0281723751029572,1.55017653779852,1.49243685920498,0.57766989642223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.289421157684631,1.00100150250438,0.285429141716567,1.00100150250438,0.289421157684631,0.0446666666666667,0.279441117764471
